"","id","host_is_superhost","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","price","cleaning_fee","number_of_reviews","review_scores_rating","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","reviews_per_month","Num.Cultural.Spaces"
"1",241032,"f","West Queen Anne",47.6362890383572,-122.371025199978,"Apartment","Entire home/apt",4,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer}","$85.00","",207,95,10,10,10,9,10,4.07,1070
"2",953595,"t","West Queen Anne",47.6391231213625,-122.365666464396,"Apartment","Entire home/apt",4,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}","$150.00","$40.00",43,96,10,10,10,10,10,1.48,1151
"3",3308979,"f","West Queen Anne",47.6297241315774,-122.369483175618,"House","Entire home/apt",11,4.5,5,7,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}","$975.00","$300.00",20,97,10,10,10,10,10,1.15,1144
"4",7421966,"f","West Queen Anne",47.6384732017664,-122.36927912263,"Apartment","Entire home/apt",3,1,0,2,"Real Bed","{Internet,""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}","$100.00","",0,NA,NA,NA,NA,NA,NA,NA,843
"5",278830,"f","West Queen Anne",47.6329184027672,-122.372470634022,"House","Entire home/apt",6,2,3,3,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}","$450.00","$125.00",38,92,9,10,10,9,9,0.89,587
"6",5956968,"f","West Queen Anne",47.6305254824019,-122.366174065189,"House","Private room",2,1,1,1,"Real Bed","{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",Essentials,Shampoo}","$120.00","$40.00",17,95,10,10,10,10,10,2.45,707
"7",1909058,"t","West Queen Anne",47.6366054453201,-122.368519058449,"House","Private room",2,1,1,1,"Real Bed","{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}","$80.00","",58,99,10,10,10,10,10,2.46,628
"8",856550,"t","West Queen Anne",47.6401605412147,-122.375855978858,"Cabin","Private room",2,1,1,1,"Real Bed","{""Wireless Internet"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Essentials,Shampoo}","$60.00","$25.00",173,97,10,10,10,9,10,4.73,495
"9",4948745,"f","West Queen Anne",47.632410299829,-122.35721606914,"Apartment","Private room",2,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}","$90.00","",8,97,9,10,9,10,10,1.22,907
"10",2493658,"t","West Queen Anne",47.6374917202263,-122.366888590921,"Apartment","Entire home/apt",4,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}","$150.00","$40.00",32,97,10,10,10,10,9,1.55,643
